ustat,alph1,alph2,beta,chi
8.408212557825,2.344510522581,2.344510522581,60.0,0
7.006843798188,2.344510522581,2.344510522581,60.0,0
5.255132848641,2.344510522581,2.344510522581,60.0,0
3.503421899094,2.344510522581,2.344510522581,60.0,0
2.102053139456,2.344510522581,2.344510522581,60.0,0
1.401368759638,2.344510522581,2.344510522581,60.0,0
0.875855474773,2.344510522581,2.344510522581,60.0,0
10.83399051342,2.276778670827,2.276778670827,60.0,0
8.667192410736,2.276778670827,2.276778670827,60.0,0
7.22266034228,2.276778670827,2.276778670827,60.0,0
5.41699525671,2.276778670827,2.276778670827,60.0,0
3.61133017114,2.276778670827,2.276778670827,60.0,0
2.166798102684,2.276778670827,2.276778670827,60.0,0
1.444532068456,2.276778670827,2.276778670827,60.0,0
0.902832542785,2.276778670827,2.276778670827,60.0,0
12.597931067132,1.45930048352,1.45930048352,60.0,0
10.498275889277,1.45930048352,1.45930048352,60.0,0
7.873706916957,1.45930048352,1.45930048352,60.0,0
5.249137944638,1.45930048352,1.45930048352,60.0,0
3.149482766783,1.45930048352,1.45930048352,60.0,0
2.099655177855,1.45930048352,1.45930048352,60.0,0
1.31228448616,1.45930048352,1.45930048352,60.0,0
7.438476886372,3.312698136839,3.312698136839,60.0,0
5.950781509098,3.312698136839,3.312698136839,60.0,0
4.958984590915,3.312698136839,3.312698136839,60.0,0
3.719238443186,3.312698136839,3.312698136839,60.0,0
2.479492295457,3.312698136839,3.312698136839,60.0,0
1.487695377274,3.312698136839,3.312698136839,60.0,0
0.991796918183,3.312698136839,3.312698136839,60.0,0
0.619873073864,3.312698136839,3.312698136839,60.0,0
7.165109263855,3.003492049746,3.003492049746,19.0,0
5.732087411084,3.003492049746,3.003492049746,19.0,0
4.776739509237,3.003492049746,3.003492049746,19.0,0
3.582554631928,3.003492049746,3.003492049746,19.0,0
2.388369754618,3.003492049746,3.003492049746,19.0,0
1.433021852771,3.003492049746,3.003492049746,19.0,0
0.955347901847,3.003492049746,3.003492049746,19.0,0
0.597092438655,3.003492049746,3.003492049746,19.0,0
10.057050954688,2.139826953897,2.139826953897,13.6,0
8.045640763751,2.139826953897,2.139826953897,13.6,0
6.704700636459,2.139826953897,2.139826953897,13.6,0
5.028525477344,2.139826953897,2.139826953897,13.6,0
3.352350318229,2.139826953897,2.139826953897,13.6,0
2.011410190938,2.139826953897,2.139826953897,13.6,0
1.340940127292,2.139826953897,2.139826953897,13.6,0
0.838087579557,2.139826953897,2.139826953897,13.6,0
4.607683216365,1.499487760174,1.499487760174,89.3,0
3.07178881091,1.499487760174,1.499487760174,89.3,0
1.843073286546,1.499487760174,1.499487760174,89.3,0
1.228715524364,1.499487760174,1.499487760174,89.3,0
0.767947202727,1.499487760174,1.499487760174,89.3,0
3.266023700593,1.348658227763,1.348658227763,87.1,0
2.612818960474,1.348658227763,1.348658227763,87.1,0
2.177349133728,1.348658227763,1.348658227763,87.1,0
1.633011850296,1.348658227763,1.348658227763,87.1,0
1.088674566864,1.348658227763,1.348658227763,87.1,0
0.653204740119,1.348658227763,1.348658227763,87.1,0
0.435469826746,1.348658227763,1.348658227763,87.1,0
0.272168641716,1.348658227763,1.348658227763,87.1,0
2.373981985012,1.855426773953,1.855426773953,84.5,0
1.89918558801,1.855426773953,1.855426773953,84.5,0
1.582654656675,1.855426773953,1.855426773953,84.5,0
1.186990992506,1.855426773953,1.855426773953,84.5,0
0.791327328337,1.855426773953,1.855426773953,84.5,0
0.474796397002,1.855426773953,1.855426773953,84.5,0
0.316530931335,1.855426773953,1.855426773953,84.5,0
0.197831832084,1.855426773953,1.855426773953,84.5,0
8.74776392053,1.813854053755,1.572587606386,45.8,0
7.289803267108,1.813854053755,1.572587606386,45.8,0
5.467352450331,1.813854053755,1.572587606386,45.8,0
3.644901633554,1.813854053755,1.572587606386,45.8,0
2.186940980133,1.813854053755,1.572587606386,45.8,0
1.457960653422,1.813854053755,1.572587606386,45.8,0
0.911225408389,1.813854053755,1.572587606386,45.8,0
8.656641379691,2.438502163637,2.076895515437,46.7,0
6.492481034768,2.438502163637,2.076895515437,46.7,0
4.328320689846,2.438502163637,2.076895515437,46.7,0
2.596992413907,2.438502163637,2.076895515437,46.7,0
1.731328275938,2.438502163637,2.076895515437,46.7,0
1.082080172461,2.438502163637,2.076895515437,46.7,0
8.344906371558,2.313433846085,1.997291604705,55.8,0
6.675925097247,2.313433846085,1.997291604705,55.8,0
5.563270914372,2.313433846085,1.997291604705,55.8,0
4.172453185779,2.313433846085,1.997291604705,55.8,0
2.781635457186,2.313433846085,1.997291604705,55.8,0
1.668981274312,2.313433846085,1.997291604705,55.8,0
1.112654182874,2.313433846085,1.997291604705,55.8,0
0.695408864297,2.313433846085,1.997291604705,55.8,0
3.431483051063,1.723729815155,73.78033358874,77.4,0
2.745186440851,1.723729815155,73.78033358874,77.4,0
2.287655367375,1.723729815155,73.78033358874,77.4,0
1.715741525532,1.723729815155,73.78033358874,77.4,0
1.143827683688,1.723729815155,73.78033358874,77.4,0
0.686296610213,1.723729815155,73.78033358874,77.4,0
0.457531073475,1.723729815155,73.78033358874,77.4,0
0.285956920922,1.723729815155,73.78033358874,77.4,0
9.970724337052,2.471377975102,2.471377975102,54.7,0
7.976579469641,2.471377975102,2.471377975102,54.7,0
6.647149558034,2.471377975102,2.471377975102,54.7,0
4.985362168526,2.471377975102,2.471377975102,54.7,0
3.323574779017,2.471377975102,2.471377975102,54.7,0
1.99414486741,2.471377975102,2.471377975102,54.7,0
1.329429911607,2.471377975102,2.471377975102,54.7,0
0.830893694754,2.471377975102,2.471377975102,54.7,0
7.891691628965,3.122452026883,3.122452026883,65.9,0
6.313353303172,3.122452026883,3.122452026883,65.9,0
5.261127752643,3.122452026883,3.122452026883,65.9,0
3.945845814483,3.122452026883,3.122452026883,65.9,0
2.630563876322,3.122452026883,3.122452026883,65.9,0
1.578338325793,3.122452026883,3.122452026883,65.9,0
1.052225550529,3.122452026883,3.122452026883,65.9,0
0.65764096908,3.122452026883,3.122452026883,65.9,0
9.704550599338,2.541755877142,2.541755877142,45.0,0
7.763640479471,2.541755877142,2.541755877142,45.0,0
6.469700399559,2.541755877142,2.541755877142,45.0,0
4.852275299669,2.541755877142,2.541755877142,45.0,0
3.234850199779,2.541755877142,2.541755877142,45.0,0
1.940910119868,2.541755877142,2.541755877142,45.0,0
1.293940079912,2.541755877142,2.541755877142,45.0,0
0.808712549945,2.541755877142,2.541755877142,45.0,0
4.607683216365,1.499487760174,1.499487760174,89.3,0
3.07178881091,1.499487760174,1.499487760174,89.3,0
1.843073286546,1.499487760174,1.499487760174,89.3,0
1.228715524364,1.499487760174,1.499487760174,89.3,0
0.767947202727,1.499487760174,1.499487760174,89.3,0
6.175230714953,1.790161995138,1.790161995138,89.0,0
5.146025595794,1.790161995138,1.790161995138,89.0,0
3.859519196846,1.790161995138,1.790161995138,89.0,0
2.573012797897,1.790161995138,1.790161995138,89.0,0
1.543807678738,1.790161995138,1.790161995138,89.0,0
1.029205119159,1.790161995138,1.790161995138,89.0,0
0.643253199474,1.790161995138,1.790161995138,89.0,0
9.414397245614,2.226188060316,1.893686786755,46.7,0
7.060797934211,2.226188060316,1.893686786755,46.7,0
4.707198622807,2.226188060316,1.893686786755,46.7,0
2.824319173684,2.226188060316,1.893686786755,46.7,0
1.882879449123,2.226188060316,1.893686786755,46.7,0
1.176799655702,2.226188060316,1.893686786755,46.7,0
5.053704074155,3.12526689754,2.660711737397,48.2,0
3.369136049437,3.12526689754,2.660711737397,48.2,0
2.021481629662,3.12526689754,2.660711737397,48.2,0
1.347654419775,3.12526689754,2.660711737397,48.2,0
0.842284012359,3.12526689754,2.660711737397,48.2,0
10.434010518369,2.576339974044,2.216328942605,46.7,0
8.695008765308,2.576339974044,2.216328942605,46.7,0
6.521256573981,2.576339974044,2.216328942605,46.7,0
4.347504382654,2.576339974044,2.216328942605,46.7,0
2.608502629592,2.576339974044,2.216328942605,46.7,0
1.739001753062,2.576339974044,2.216328942605,46.7,0
1.086876095663,2.576339974044,2.216328942605,46.7,0
10.255602175253,2.469975536119,2.103701686512,46.7,0
8.546335146044,2.469975536119,2.103701686512,46.7,0
6.409751359533,2.469975536119,2.103701686512,46.7,0
4.273167573022,2.469975536119,2.103701686512,46.7,0
2.563900543813,2.469975536119,2.103701686512,46.7,0
1.709267029209,2.469975536119,2.103701686512,46.7,0
1.068291893256,2.469975536119,2.103701686512,46.7,0
6.503271861973,2.668612711829,2.307606074661,46.7,0
