10.30415    2.24797    2.34592   17.0
7.72811     2.24797    2.34592   17.0
6.18249     2.24797    2.34592   17.0
5.15208     2.24797    2.34592   17.0
3.86406     2.24797    2.34592   17.0
3.09125     2.24797    2.34592   17.0
1.54562     2.24797    2.34592   17.0
8.8527      2.01417    2.12818   17.0
6.6395      2.01417    2.12818   17.0
5.3116      2.01417    2.12818   17.0
4.4264      2.01417    2.12818   17.0
3.3198      2.01417    2.12818   17.0
2.6558      2.01417    2.12818   17.0
1.3279      2.01417    2.12818   17.0
