ustat,alph1,alph2,beta,chi
6.675925097,2.313433846,1.997291605,55.8,0.953057913
6.647149558,2.471377975,2.471377975,54.7,0.689585432
6.6395,2.01417,2.12818,17,2.783933518
6.565618864,1.960250739,1.692372726,36.4,0.34819966
6.521256574,2.576339974,2.216328943,46.7,0.264251958
6.503271862,2.668612712,2.307606075,46.7,1.363168608
6.492481035,2.438502164,2.076895515,46.7,0.643395311
6.4697004,2.541755877,2.541755877,45,0.712758366
6.427736072,1.787581846,1.787581846,70.5,2.218369733
6.40975136,2.469975536,2.103701687,46.7,0.638315196
6.313353303,3.122452027,3.122452027,65.9,0.860127182
6.222710355,3.102408395,2.678448857,47.3,1.069338173
6.175230715,1.790161995,1.790161995,89,1.59152372
6.175230715,1.790161995,1.790161995,89,1.842816939
6.143577622,1.49948776,1.49948776,89.3,2.13490301
6.143577622,1.49948776,1.49948776,89.3,2.022539694
6.083148989,2.538867797,2.191918885,46.6,0.983742378
6.019842803,2.856576746,2.856576746,19,2.303103365
5.950781509,3.312698137,3.312698137,60,0.969949516
5.755107842,1.566148333,6.236981667,46.6,1.21074065
5.732087411,3.00349205,3.00349205,19,1.276179001
5.732087411,3.00349205,3.00349205,19,1.519260715
5.622020974,2.462370602,11.31137892,11.6,0.328775195
5.57166378,2.936375859,0.708486899,20,1.143343601
5.563270914,2.313433846,1.997291605,55.8,0.92441165
5.563270914,2.313433846,1.997291605,55.8,0.92441165
5.46735245,1.813854054,1.572587606,45.8,1.32348599
5.416995257,2.276778671,2.276778671,60,0.834247797
5.416995257,2.276778671,2.276778671,60,1.877057543
5.366638063,2.943029485,2.505562997,57,0.972302412
5.363041121,1.799854635,1.553895548,45.8,0.867852498
5.3116,2.01417,2.12818,17,1.808318264
5.280311445,2.035408227,2.035408227,13.6,3.64602659
5.265923676,3.50959153,3.378443989,46.8,4.152371419
5.261127753,3.122452027,3.122452027,65.9,0.765548531
5.255132849,2.344510523,2.344510523,60,0.77282918
5.249137945,1.459300484,1.459300484,60,1.109984141
5.249137945,1.459300484,1.459300484,60,1.264148605
5.146025596,1.790161995,1.790161995,89,1.26538983
5.146025596,1.790161995,1.790161995,89,1.344476694
5.069290825,2.538867797,2.191918885,46.6,0.977985615
5.053704074,3.125266898,2.660711737,48.2,1.7896553
5.053704074,3.125266898,2.660711737,48.2,1.357669538
5.028525477,2.139826954,2.139826954,13.6,0.479525926
5.028525477,2.139826954,2.139826954,13.6,2.085937778
5.016535669,2.856576746,2.856576746,19,1.861214642
4.990158092,1.535035444,1.535035444,54.7,1.061768088
4.990158092,1.535035444,1.535035444,54.7,1.038173241
4.985362169,2.471377975,2.471377975,54.7,0.688448144
4.978168284,3.102408395,2.678448857,47.3,1.026396778
4.958984591,3.312698137,3.312698137,60,0.8993425
4.924214148,1.960250739,1.692372726,36.4,0.407990999
4.8522753,2.541755877,2.541755877,45,0.77159327
4.776739509,3.00349205,3.00349205,19,1.113778791
4.776739509,3.00349205,3.00349205,19,1.373660509
4.723984354,2.228934006,1.897614209,46.7,1.150528932
4.707198623,2.22618806,1.893686787,46.7,1.100163538
4.607683216,1.49948776,1.49948776,89.3,1.324234883
4.607683216,1.49948776,1.49948776,89.3,1.360025015
4.500973925,2.339371332,1.991635584,37.6,1.133469299
4.4264,2.01417,2.12818,17,1.431111111
4.352300306,1.359039871,58.17061012,80.9,1.403442636
4.347504383,2.576339974,2.216328943,46.7,0.296863208
4.335514575,2.668612712,2.307606075,46.7,0.997243146
4.32832069,2.438502164,2.076895515,46.7,0.484292586
4.316330882,1.566148333,6.236981667,46.6,0.859043275
4.285157381,1.787581846,1.787581846,70.5,1.302700989
4.273167573,2.469975536,2.103701687,46.7,0.470123242
4.212738941,3.50959153,3.378443989,46.8,2.174509442
4.172453186,2.313433846,1.997291605,55.8,0.94123772
4.172453186,2.313433846,1.997291605,55.8,0.94123772
4.14847357,3.102408395,2.678448857,47.3,0.999407079
3.945845814,3.122452027,3.122452027,65.9,0.777414035
3.859519197,1.790161995,1.790161995,89,0.999855485
3.859519197,1.790161995,1.790161995,89,1.018371327
3.801968118,2.538867797,2.191918885,46.6,0.982919962
3.762401752,2.856576746,2.856576746,19,1.432779815
3.748013982,2.462370602,11.31137892,11.6,0.269454491
3.719238443,3.312698137,3.312698137,60,0.887534279
3.71444252,2.936375859,0.708486899,20,0.639048786
3.644901634,1.813854054,1.572587606,45.8,1.173622314
3.611330171,2.276778671,2.276778671,60,0.870907635
3.611330171,2.276778671,2.276778671,60,1.42918176
3.582554632,3.00349205,3.00349205,19,0.861304548
3.582554632,3.00349205,3.00349205,19,1.489824083
3.577758709,2.943029485,2.505562997,57,0.767775024
3.575360747,1.799854635,1.553895548,45.8,0.862827561
3.52020763,2.035408227,2.035408227,13.6,0.942137332
3.510615784,1.735063023,34.11170237,83.2,1.216619276
3.503421899,2.344510523,2.344510523,60,0.811944271
3.481840245,1.359039871,58.17061012,80.9,1.429995307
3.431483051,1.723729815,73.78033359,77.4,1.10705205
3.369136049,3.125266898,2.660711737,48.2,1.391565384
3.369136049,3.125266898,2.660711737,48.2,0.899165325
3.364807461,3.50959153,3.378443989,46.8,2.071506462
3.352350318,2.139826954,2.139826954,13.6,0.364538298
3.352350318,2.139826954,2.139826954,13.6,0.757118003
3.323574779,2.471377975,2.471377975,54.7,0.734697548
3.3198,2.01417,2.12818,17,1.111888112
3.282809432,1.960250739,1.692372726,36.4,0.523228995
3.266023701,1.348658228,1.348658228,87.1,0.253714973
3.2348502,2.541755877,2.541755877,45,0.807933599
3.149482767,1.459300484,1.459300484,60,1.006771387
3.149482767,1.459300484,1.459300484,60,0.976263164
3.111355177,3.102408395,2.678448857,47.3,0.948505453
3.071788811,1.49948776,1.49948776,89.3,0.865974864
3.071788811,1.49948776,1.49948776,89.3,1.047550238
3.009099243,3.50959153,3.378443989,46.8,1.33682255
2.994094855,1.535035444,1.535035444,54.7,0.910184092
2.994094855,1.535035444,1.535035444,54.7,0.910184092
2.901533537,1.359039871,58.17061012,80.9,1.309516824
2.877553921,1.566148333,6.236981667,46.6,0.70752021
2.834390612,2.228934006,1.897614209,46.7,0.944210031
2.824319174,2.22618806,1.893686787,46.7,0.932784034
2.808492627,1.735063023,34.11170237,83.2,1.128372049
2.781635457,2.313433846,1.997291605,55.8,0.810123678
2.781635457,2.313433846,1.997291605,55.8,0.810123678
2.745186441,1.723729815,73.78033359,77.4,1.144025518
2.700584355,2.339371332,1.991635584,37.6,0.978097162
2.661737377,2.222213843,95.11680844,74.8,1.044829635
2.6558,2.01417,2.12818,17,0.991416309
2.632961838,3.50959153,3.378443989,46.8,0.933689553
2.630563876,3.122452027,3.122452027,65.9,0.806247133
2.61281896,1.348658228,1.348658228,87.1,0.296173381
2.60850263,2.576339974,2.216328943,46.7,0.246585233
2.601308745,2.668612712,2.307606075,46.7,0.794426979
2.596992414,2.438502164,2.076895515,46.7,0.445636726
2.589798529,1.030203628,64.31631474,46.4,0.227529989
2.573012798,1.790161995,1.790161995,89,0.897178429
2.573012798,1.790161995,1.790161995,89,0.82241356
2.571094429,1.787581846,1.787581846,70.5,1.031534544
2.563900544,2.469975536,2.103701687,46.7,0.539132198
2.534645412,2.538867797,2.191918885,46.6,0.923121218
2.508267835,2.856576746,2.856576746,19,1.098338708
2.479492295,3.312698137,3.312698137,60,0.89717317
2.476295013,2.936375859,0.708486899,20,0.628376318
2.388369755,3.00349205,3.00349205,19,0.554208065
2.388369755,3.00349205,3.00349205,19,0.89795737
2.373981985,1.855426774,1.855426774,84.5,0.373169372
2.340410523,1.735063023,34.11170237,83.2,1.341190455
2.287655367,1.723729815,73.78033359,77.4,1.093311433
2.248808389,2.462370602,11.31137892,11.6,0.192016411
2.18694098,1.813854054,1.572587606,45.8,1.007053902
2.177349134,1.348658228,1.348658228,87.1,0.350764954
2.176150153,1.359039871,58.17061012,80.9,1.176102501
2.166798103,2.276778671,2.276778671,60,0.874627684
2.166798103,2.276778671,2.276778671,60,1.080422433
2.146655225,2.943029485,2.505562997,57,0.799599711
2.145216448,1.799854635,1.553895548,45.8,0.766159186
2.129389902,2.222213843,95.11680844,74.8,1.07853171
2.112124578,2.035408227,2.035408227,13.6,0.593964217
2.10636947,3.50959153,3.378443989,46.8,0.758284669
2.102053139,2.344510523,2.344510523,60,0.844522563
2.099655178,1.459300484,1.459300484,60,0.912255775
2.099655178,1.459300484,1.459300484,60,0.946465366
2.074236785,3.102408395,2.678448857,47.3,0.887101771
2.071838823,1.030203628,64.31631474,46.4,0.240515584
2.02148163,3.125266898,2.660711737,48.2,1.072705618
2.02148163,3.125266898,2.660711737,48.2,0.885605801
2.011410191,2.139826954,2.139826954,13.6,0.248273403
2.011410191,2.139826954,2.139826954,13.6,0.559074922
1.996063237,1.535035444,1.535035444,54.7,0.890747404
1.996063237,1.535035444,1.535035444,54.7,0.901226785
1.994144867,2.471377975,2.471377975,54.7,0.765599616
1.969685659,1.960250739,1.692372726,36.4,0.573082643
1.94091012,2.541755877,2.541755877,45,0.743227041
1.913573358,1.394260549,87.04463649,47.8,0.557169094
1.899185588,1.855426774,1.855426774,84.5,0.445454965
1.889593742,2.228934006,1.897614209,46.7,0.923625843
1.882879449,2.22618806,1.893686787,46.7,0.769055562
1.843073287,1.49948776,1.49948776,89.3,0.872107714
1.843073287,1.49948776,1.49948776,89.3,0.872107714
1.80038957,2.339371332,1.991635584,37.6,0.971199226
1.774491585,2.222213843,95.11680844,74.8,1.050411393
1.755307892,1.735063023,34.11170237,83.2,1.19434046
1.739001753,2.576339974,2.216328943,46.7,0.21245898
1.73420583,2.668612712,2.307606075,46.7,0.657522336
1.731328276,2.438502164,2.076895515,46.7,0.418664701
1.726532353,1.030203628,64.31631474,46.4,0.249973598
1.715741526,1.723729815,73.78033359,77.4,1.063867832
1.714062952,1.787581846,1.787581846,70.5,0.968565877
1.709267029,2.469975536,2.103701687,46.7,0.515068379
1.668981274,2.313433846,1.997291605,55.8,0.764406443
1.668981274,2.313433846,1.997291605,55.8,0.764406443
1.63301185,1.348658228,1.348658228,87.1,0.440134241
1.582654657,1.855426774,1.855426774,84.5,0.503064552
1.578338326,3.122452027,3.122452027,65.9,0.813094478
1.543807679,1.790161995,1.790161995,89,0.849169821
1.543807679,1.790161995,1.790161995,89,0.858108451
1.530858686,1.394260549,87.04463649,47.8,0.579542815
1.520787247,2.538867797,2.191918885,46.6,0.754470937
1.504960701,2.856576746,2.856576746,19,0.672550414
1.499205593,2.462370602,11.31137892,11.6,0.147083889
1.487695377,3.312698137,3.312698137,60,0.853090488
1.485777008,2.936375859,0.708486899,20,0.493281915
1.457960653,1.813854054,1.572587606,45.8,0.903329914
1.450766769,1.359039871,58.17061012,80.9,1.085809949
1.444532068,2.276778671,2.276778671,60,0.828435277
1.444532068,2.276778671,2.276778671,60,0.812191448
1.433021853,3.00349205,3.00349205,19,0.334184316
