ustat,alph1,alph2,beta,chi,diff,chi_label
7.040415261,2.035408227,2.035408227,13.6,1.937181002,0,0
7.021231568,3.50959153,3.378443989,46.8,8.411300986,0.131147541,1
7.006843798,2.344510523,2.344510523,60,0.840346719,0,0
6.906129411,1.566148333,6.236981667,46.6,1.77020816,4.670833333,0
6.751460888,2.339371332,1.991635584,37.6,1.45552992,0.347735749,0
6.738272099,3.125266898,2.660711737,48.2,1.794947612,0.46455516,0
6.738272099,3.125266898,2.660711737,48.2,2.284478779,0.46455516,0
6.704700636,2.139826954,2.139826954,13.6,0.570303957,0,0
6.704700636,2.139826954,2.139826954,13.6,1.09673838,0,0
6.675925097,2.313433846,1.997291605,55.8,0.953057913,0.316142241,0
6.675925097,2.313433846,1.997291605,55.8,0.953057913,0.316142241,0
6.647149558,2.471377975,2.471377975,54.7,0.689585432,0,0
6.6395,2.01417,2.12818,17,2.783933518,0.11401,0
6.565618864,1.960250739,1.692372726,36.4,0.34819966,0.267878013,0
6.521256574,2.576339974,2.216328943,46.7,0.264251958,0.360011031,0
6.503271862,2.668612712,2.307606075,46.7,1.363168608,0.361006637,0
6.492481035,2.438502164,2.076895515,46.7,0.643395311,0.361606648,0
6.4697004,2.541755877,2.541755877,45,0.712758366,0,0
6.427736072,1.787581846,1.787581846,70.5,2.218369733,0,0
6.40975136,2.469975536,2.103701687,46.7,0.638315196,0.36627385,0
6.313353303,3.122452027,3.122452027,65.9,0.860127182,0,0
6.222710355,3.102408395,2.678448857,47.3,1.069338173,0.423959538,0
6.175230715,1.790161995,1.790161995,89,1.59152372,0,0
6.175230715,1.790161995,1.790161995,89,1.842816939,0,0
6.143577622,1.49948776,1.49948776,89.3,2.13490301,0,0
6.143577622,1.49948776,1.49948776,89.3,2.022539694,0,0
6.083148989,2.538867797,2.191918885,46.6,0.983742378,0.346948912,0
6.019842803,2.856576746,2.856576746,19,2.303103365,0,0
5.950781509,3.312698137,3.312698137,60,0.969949516,0,0
5.755107842,1.566148333,6.236981667,46.6,1.21074065,4.670833333,0
5.732087411,3.00349205,3.00349205,19,1.276179001,0,0
5.732087411,3.00349205,3.00349205,19,1.519260715,0,0
5.622020974,2.462370602,11.31137892,11.6,0.328775195,8.849008317,0
5.57166378,2.936375859,0.708486899,20,1.143343601,2.227888961,0
5.563270914,2.313433846,1.997291605,55.8,0.92441165,0.316142241,0
5.563270914,2.313433846,1.997291605,55.8,0.92441165,0.316142241,0
5.46735245,1.813854054,1.572587606,45.8,1.32348599,0.241266447,0
5.416995257,2.276778671,2.276778671,60,0.834247797,0,0
5.416995257,2.276778671,2.276778671,60,1.877057543,0,0
5.366638063,2.943029485,2.505562997,57,0.972302412,0.437466488,0
5.363041121,1.799854635,1.553895548,45.8,0.867852498,0.245959088,0
5.3116,2.01417,2.12818,17,1.808318264,0.11401,0
5.280311445,2.035408227,2.035408227,13.6,3.64602659,0,1
5.265923676,3.50959153,3.378443989,46.8,4.152371419,0.131147541,1
5.261127753,3.122452027,3.122452027,65.9,0.765548531,0,0
