ustat,alph1,alph2,beta,chi,diff
8.408212557825,2.344510522581,2.344510522581,60.0,0,0.0
7.006843798188,2.344510522581,2.344510522581,60.0,0,0.0
10.83399051342,2.276778670827,2.276778670827,60.0,0,0.0
8.667192410736,2.276778670827,2.276778670827,60.0,0,0.0
7.22266034228,2.276778670827,2.276778670827,60.0,0,0.0
5.41699525671,2.276778670827,2.276778670827,60.0,0,0.0
12.597931067132,1.45930048352,1.45930048352,60.0,0,0.0
10.498275889277,1.45930048352,1.45930048352,60.0,0,0.0
7.873706916957,1.45930048352,1.45930048352,60.0,0,0.0
7.438476886372,3.312698136839,3.312698136839,60.0,0,0.0
5.950781509098,3.312698136839,3.312698136839,60.0,0,0.0
7.165109263855,3.003492049746,3.003492049746,19.0,0,0.0
5.732087411084,3.003492049746,3.003492049746,19.0,0,0.0
10.057050954688,2.139826953897,2.139826953897,13.6,0,0.0
8.045640763751,2.139826953897,2.139826953897,13.6,0,0.0
6.704700636459,2.139826953897,2.139826953897,13.6,0,0.0
8.74776392053,1.813854053755,1.572587606386,45.8,0,0.24126644736900005
7.289803267108,1.813854053755,1.572587606386,45.8,0,0.24126644736900005
5.467352450331,1.813854053755,1.572587606386,45.8,0,0.24126644736900005
8.656641379691,2.438502163637,2.076895515437,46.7,0,0.3616066482
6.492481034768,2.438502163637,2.076895515437,46.7,0,0.3616066482
8.344906371558,2.313433846085,1.997291604705,55.8,0,0.31614224138000013
6.675925097247,2.313433846085,1.997291604705,55.8,0,0.31614224138000013
5.563270914372,2.313433846085,1.997291604705,55.8,0,0.31614224138000013
9.970724337052,2.471377975102,2.471377975102,54.7,0,0.0
7.976579469641,2.471377975102,2.471377975102,54.7,0,0.0
6.647149558034,2.471377975102,2.471377975102,54.7,0,0.0
7.891691628965,3.122452026883,3.122452026883,65.9,0,0.0
6.313353303172,3.122452026883,3.122452026883,65.9,0,0.0
5.261127752643,3.122452026883,3.122452026883,65.9,0,0.0
9.704550599338,2.541755877142,2.541755877142,45.0,0,0.0
7.763640479471,2.541755877142,2.541755877142,45.0,0,0.0
6.469700399559,2.541755877142,2.541755877142,45.0,0,0.0
6.175230714953,1.790161995138,1.790161995138,89.0,0,0.0
9.414397245614,2.226188060316,1.893686786755,46.7,0,0.3325012735609998
7.060797934211,2.226188060316,1.893686786755,46.7,0,0.3325012735609998
10.434010518369,2.576339974044,2.216328942605,46.7,0,0.36001103143899993
8.695008765308,2.576339974044,2.216328942605,46.7,0,0.36001103143899993
6.521256573981,2.576339974044,2.216328942605,46.7,0,0.36001103143899993
10.255602175253,2.469975536119,2.103701686512,46.7,0,0.36627384960699993
8.546335146044,2.469975536119,2.103701686512,46.7,0,0.36627384960699993
6.409751359533,2.469975536119,2.103701686512,46.7,0,0.36627384960699993
6.503271861973,2.668612711829,2.307606074661,46.7,0,0.3610066371680003
10.726082241374,1.799854635452,1.553895547591,45.8,0,0.24595908786100007
8.580865793099,1.799854635452,1.553895547591,45.8,0,0.24595908786100007
7.150721494249,1.799854635452,1.553895547591,45.8,0,0.24595908786100007
5.363041120687,1.799854635452,1.553895547591,45.8,0,0.24595908786100007
9.8484282954,1.96025073883,1.692372725682,36.4,0,0.26787801314799986
7.87874263632,1.96025073883,1.692372725682,36.4,0,0.26787801314799986
6.5656188636,1.96025073883,1.692372725682,36.4,0,0.26787801314799986
8.344906371558,2.313433846085,1.997291604705,55.8,0,0.31614224138000013
6.675925097247,2.313433846085,1.997291604705,55.8,0,0.31614224138000013
5.563270914372,2.313433846085,1.997291604705,55.8,0,0.31614224138000013
7.603936236842,2.538867797028,2.191918885013,46.6,0,0.3469489120149998
6.083148989474,2.538867797028,2.191918885013,46.6,0,0.3469489120149998
6.222710354653,3.10240839475,2.678448857177,47.3,0,0.42395953757299987
11.244041947195,2.46237060212,11.311378919459,11.6,0,8.849008317339
8.995233557756,2.46237060212,11.311378919459,11.6,0,8.849008317339
7.496027964796,2.46237060212,11.311378919459,11.6,0,8.849008317339
5.622020973597,2.46237060212,11.311378919459,11.6,0,8.849008317339
7.873706916957,1.45930048352,1.45930048352,60.0,0,0.0
5.41699525671,2.276778670827,2.276778670827,60.0,0,0.0
7.485237137592,1.535035443741,1.535035443741,54.7,0,0.0
7.485237137592,1.535035443741,1.535035443741,54.7,0,0.0
7.085976531022,2.228934005606,1.897614208651,46.7,0,0.3313197969549999
6.751460887679,2.339371332468,1.991635583934,37.6,0,0.347735748534
7.155517417451,2.943029484614,2.505562996678,57.0,0,0.4374664879360002
5.366638063088,2.943029484614,2.505562996678,57.0,0,0.4374664879360002
6.738272098873,3.12526689754,2.660711737397,48.2,0,0.464555160143
6.175230714953,1.790161995138,1.790161995138,89.0,0,0.0
7.040415260602,2.035408226685,2.035408226685,13.6,0,0.0
10.057050954688,2.139826953897,2.139826953897,13.6,0,0.0
8.045640763751,2.139826953897,2.139826953897,13.6,0,0.0
6.704700636459,2.139826953897,2.139826953897,13.6,0,0.0
7.165109263855,3.003492049746,3.003492049746,19.0,0,0.0
5.732087411084,3.003492049746,3.003492049746,19.0,0,0.0
7.428885039968,2.936375859175,0.708486898555,20.0,0,2.22788896062
5.571663779976,2.936375859175,0.708486898555,20.0,0,2.22788896062
6.906129410945,1.566148333333,6.236981666667,46.6,0,4.670833333334
5.755107842454,1.566148333333,6.236981666667,46.6,0,4.670833333334
6.019842803207,2.856576746438,2.856576746438,19.0,0,0.0
8.586620900941,2.943029484614,2.505562996678,57.0,0,0.4374664879360002
10.934704900663,1.813854053755,1.572587606386,45.8,0,0.24126644736900005
