10.5103	2.34451	2.34451	60.	3.28078
9.21537	1.49949	1.49949	89.3	10.8777
7.37229	1.49949	1.49949	89.3	3.84137
12.985	2.4385	2.0769	46.7	5.73479
12.8195	2.46998	2.1037	46.7	5.86098
13.0065	2.66861	2.30761	46.7	11.6756
10.4052	2.66861	2.30761	46.7	3.3329
15.7474	1.4593	1.4593	60.	15.8305
12.5979	1.4593	1.4593	60.	5.86901
10.4983	1.4593	1.4593	60.	3.50868
10.834	2.27678	2.27678	60.	13.3535
8.66719	2.27678	2.27678	60.	4.19176
14.9705	1.53504	1.53504	54.7	22.334
11.9764	1.53504	1.53504	54.7	6.16607
9.98032	1.53504	1.53504	54.7	3.05501
12.8555	1.78758	1.78758	70.5	20.1985
10.2844	1.78758	1.78758	70.5	4.83716
14.9705	1.53504	1.53504	54.7	16.7505
11.9764	1.53504	1.53504	54.7	6.16607
9.98032	1.53504	1.53504	54.7	3.05501
14.172	2.22893	1.89761	46.7	25.0053
11.3376	2.22893	1.89761	46.7	10.1815
9.44797	2.22893	1.89761	46.7	3.21623
13.5029	2.33937	1.99164	37.6	10.8058
10.8023	2.33937	1.99164	37.6	3.63021
10.7333	2.94303	2.50556	57.	10.1482
10.1074	3.12527	2.66071	48.2	9.11754
7.71904	1.79016	1.79016	89.	3.62579
10.5606	2.03541	2.03541	13.6	3.87398
5.28031	2.03541	2.03541	13.6	3.64603
7.5248	2.85658	2.85658	19.	3.24215
7.02123	3.50959	3.37844	46.8	8.4113
5.26592	3.50959	3.37844	46.8	4.15237
8.63266	1.56615	6.23698	46.6	4.50868
